2007-2007	1992-1996
kofi_annan	boutros_ghali,boutros,ghali,boutrosboutros_ghali,boutros_boutrosghali,boutros_boutros,boutrosghali
annan	boutros_ghali,boutros,ghali,boutrosboutros_ghali,boutros_boutrosghali,boutros_boutros,boutrosghali
silvio_berlusconi	lamberto_dini,silvio_berlusconi,ciampi,berlusconi
merkel	helmut_kohl,chancellor_kohl
tony_blair	john_major
aznar	felipe_gonzalez
zapatero	felipe_gonzalez
shinzo_abe	kaifu
junichiro_koizumi	miyazawa,hosokawa,hata,tomiichi_murayama,hashimoto
vajpayee	mahatma_gandhi
howard	paul_keating
bush	bill_clinton,bush
blatter	joao_havelange
jacques_rogge	samaranch
google	microsoft,netscape,ibm,att,lycos,compaq,alta_vista,intel,aol,america_online,compuserve,microsoft_corporation,msn,infoseek,yahoo
nato	nato,nato_alliance,
czech	czechoslovakia,czechoslovak,czech_republic
slovakia	czechoslovakia,slovak_republic
ipod	cd_player,laptop,pda
wifi	isdn,dialup,modem,ethernet,data_transmission,coaxial_cable,wireless,wireless_cable,fiber_optics,wireless_communications
internet_explorer	netscape_navigator, netcruiser,eworld
firefox	netcruiser,netscape_navigator,eworld,internet_explorer
amazon	yahoo,mailorder_catalogues,microsoft_network,msn
berlin	bonn,west_berlin,east_berlin
mp3	cdrom,compact_disk,laser_disk
usb	floppy_disk,cdrom,compact_disk,laser_disk
slovakia	czechoslovakia
singh	mahatma_gandhi
dvdrom	audio_cassette,video_cassette,analog_cassette,diskette,vhs,audio_tape,floppy_disk,vcr,tape,compact_disk,casette,laserdisk,cdrom,videocassette,disk,cassette
email	fax,phones,messages,telex,electronic_mail,facsimile,mail,fax_message,message
pixar	paramounts,columbia_pictures,walt_disney,mca,carolco_pictures,lucasfilm_ltd,lucasfilm,mgm,warner_brothers,universal_pictures,tristar,sony,paramount_pictures,disney
mobile_phone	cellular_mobile,pager,cellular_telephone,cellular_phone
hard_disk	floppy_disk,diskette
flash_drive	cdrom,floppy_disk,floppy_drive,35inch_floppy,diskette
ipod	video_walkman,laptop,palmtop,cd_player,walkman
montenegro	yugoslavia
fridge	refrigerator,fridge,freezer,ice_cubes
yahoo	compaq,lotus,xerox,intel,att,novell,sony,microsoft,ibm
slovenia	yugoslav_province,yugoslavia,slovenian_republic,yugoslav_republic
berlin	east_berlin,berlin,bonn,west_berlin
facebook	bulletin_boards,networking,usenet,electronic_mail
letter	telegram,memo,letter,handwritten_letter
euro	german_mark,yen,dollar,swiss_franc,deutsche_marks,deutsche_mark,japanese_yen,francs,lira,french_franc
boeing	airbus,mcdonnell_douglas,airbus_industrie,boeing,pratt_whitney
bosnia	yugoslav_province,yugoslavia,yugoslav_republic
dvd	audio_cassette,video_cassette,analog_cassette,vhs,audio_tape,vcr,videocassette,compact_disk,casette,laserdisk,cdrom,tape,disk,cassette
jacques_rogge	samaranch
macedonia	yugoslav_province,yugoslavia,yugoslav_republic
vajpayee	mahatma_gandhi
croatia	yugoslav_federation,yugoslavia,yugoslav_republic
compact_disk	digital_tape,supervhs,videodisk,analog_cassette,audio_tape,cassette,casette
cdrom_drive	floppy_disk,cd_player,diskette_drive
junichiro_koizumi	uno,kaifu
	
2002-2007	1987-1991
google	compaq,motorola,apple,ibm,lotus,microsoft_corporation,xerox,intel,att,hewlettpackard,novell,sony,microsoft,matsushita
scanner	scanner
myanmar	burma,myanmar
kosovo	yugoslav_province,kosovo_province,yugoslavia,kosovo_region,yugoslav_republic
angela_merkel	kohl
serbia	serbian_republic,yugoslav_federation,yugoslavia,yugoslav_republic,serbian_province
blatter	joao_havelange
jacques_chirac	neogaullist_leader,chirac,francois_mitterrand
smartphone	cellular_phone,pager,cellular_telephone,palmtop
mp3	analog_cassette,dcc,cassettes,8millimeter_video,compact_disk,cdrom,35inch_floppy
linux	dos,unix,os2,msdos
shinzo_abe	takeshita
czech_republic	czechoslovakia
superman	batman,robocop,tarzan,superman
silvio_berlusconi	andreotti,giovanni_goria
usb	floppy_disk,cdrom_drive,35inch_floppy,diskette,floppy_drive
spam	junk_mail,promotional_materials,junk_fax,autodialers
spreadsheet	spreadsheet_program,database,excel_spreadsheet,wordperfect,spreadsheet,lotus_123,quattro_pro
microwave	stove,reflector_oven,microwave,microwave_oven
tony_blair	thatcher
bush	bush,ronald_reagan,president_bush
nato	nato,nato_alliance,allied_forces
vladimir_putin	mikhail_gorbachev,gorbachev,boris_yeltsin,yeltsin
slovakia	czechoslovakia
singh	mahatma_gandhi
dvdrom	audio_cassette,video_cassette,analog_cassette,diskette,vhs,audio_tape,floppy_disk,vcr,tape,compact_disk,casette,laserdisk,cdrom,videocassette,disk,cassette
email	fax,phones,messages,telex,electronic_mail,facsimile,mail,fax_message,message
pixar	paramounts,columbia_pictures,walt_disney,mca,carolco_pictures,lucasfilm_ltd,lucasfilm,mgm,warner_brothers,universal_pictures,tristar,sony,paramount_pictures,disney
mobile_phone	cellular_mobile,pager,cellular_telephone,cellular_phone
hard_disk	floppy_disk,diskette
flash_drive	cdrom,floppy_disk,floppy_drive,35inch_floppy,diskette
ipod	video_walkman,laptop,palmtop,cd_player,walkman
montenegro	yugoslavia
fridge	refrigerator,fridge,freezer,ice_cubes
yahoo	compaq,lotus,xerox,intel,att,novell,sony,microsoft,ibm
slovenia	yugoslav_province,yugoslavia,slovenian_republic,yugoslav_republic
berlin	east_berlin,berlin,bonn,west_berlin
facebook	bulletin_boards,networking,usenet,electronic_mail
letter	telegram,memo,letter,handwritten_letter
euro	german_mark,yen,dollar,swiss_franc,deutsche_marks,deutsche_mark,japanese_yen,francs,lira,french_franc
boeing	airbus,mcdonnell_douglas,airbus_industrie,boeing,pratt_whitney
bosnia	yugoslav_province,yugoslavia,yugoslav_republic
dvd	audio_cassette,video_cassette,analog_cassette,vhs,audio_tape,vcr,videocassette,compact_disk,casette,laserdisk,cdrom,tape,disk,cassette
jacques_rogge	samaranch
macedonia	yugoslav_province,yugoslavia,yugoslav_republic
vajpayee	mahatma_gandhi
croatia	yugoslav_federation,yugoslavia,yugoslav_republic
compact_disk	digital_tape,supervhs,videodisk,analog_cassette,audio_tape,cassette,casette
cdrom_drive	floppy_disk,cd_player,diskette_drive
junichiro_koizumi	uno,kaifu
