ID	Query	Query_Type
1	issey_miyake	person
2	masayoshi_son	person
3	yoko_ono	person
4	tadao_ando	person
5	shinzo_abe	person
6	dewi_sukarno	person
7	hayao_miyazaki	person
8	akira_kurosawa	person
9	yukio_mishima	person
10	sakamoto_ryoma	person
11	takeshi_kitano	person
12	rinko_kikuchi	person
13	ken_watanabe	person
14	tokugawa_ieyasu	person
15	hiroyuki_sanada	person
16	isoroku_yamamoto	person
17	taro_aso	person
18	ichiro_suzuki	person
19	haruki_murakami	person
20	ayumi_hamasaki	person
21	mao_asada	person
22	momofuku_ando	person
23	junichiro_koizumi	person
24	saitama	location
25	osaka	location
26	yakushima	location
27	mount_fuji	location
28	kyoto	location
29	yokohama	location
30	ginza	location
31	kobe	location
32	hokkaido	location
33	sapporo	location
34	beppu	location
35	shinjuku	location
36	nagoya	location
37	tokyo_skytree	location
38	himeji_castle	location
39	ishigaki	location
40	okinawa	location
41	akihabara	location
42	lake_biwa	location
43	fukuoka	location
44	tokyo	location
45	nagano	location
46	narita_airport	location
47	hiroshima	location
48	nara	location
49	meiji_restoration	object
50	tohoku_earthquake	object
51	yen	object
52	nikkei	object
53	yomiuri_giants	object
54	japan_airlines	object
55	nhk	object
56	jica	object
57	asimo	object
58	pokemon	object
59	matsushita	object
60	shinkansen	object
61	suzuka_circuit	object
62	gion_festival	object
63	naruto	object
64	kyoto_university	object
65	jaxa	object
66	nintendo	object
67	sony	object
68	nissan	object
69	toyota	object
70	rakuten	object
71	nikkey_shimbun	object
72	kyoto_protocol	object
73	national_diet	object
74	kinkaku_ji	object
75	miso	non-entity
76	mochi	non-entity
77	sushi	non-entity
78	tofu	non-entity
79	haiku	non-entity
80	okonomiyaki	non-entity
81	onsen	non-entity
82	sashimi	non-entity
83	kimono	non-entity
84	kombu	non-entity
85	matsuri	non-entity
86	obon	non-entity
87	wasabi	non-entity
88	sumo	non-entity
89	typhoon	non-entity
90	ninja	non-entity
91	calligraphy	non-entity
92	ramen	non-entity
93	soba	non-entity
94	kanji	non-entity
95	udon	non-entity
96	tsunami	non-entity
97	anime	non-entity
98	instant_noodle	non-entity
99	ainu_people	non-entity
100	manga	non-entity
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
